InputID,TargetID,Distance
200,UAX,0.0191426198938
201,MCM,0.00794503028797
202,UAX,0.029506887587
203,MER,0.0078248511807
204,MCM,0.0189524419811
205,MCM,0.0195988369266
206,MCM,0.0194996499583
207,MCM,0.0235221644712
208,CCA,0.0137399164319
209,HGM,0.0209221625395
210,MGH,0.0246118671188
211,MCM,0.0193038028553
212,BJU,0.0199365203012
213,BJU,0.0198239729224
214,CCA,0.0114657431345
215,PED,0.0318792367723
216,HGM,0.0103854394018
217,SJA,0.00642316615441
218,LAA,0.0109399756278
219,MCM,0.0189455166149
220,MCM,0.00956761786468
221,HGM,0.0215093944706
222,COR,0.0356519302539
223,IZT,0.0216449946814
224,MCM,0.0195019087487
225,MCM,0.0167427978174
226,MCM,0.00957386302394
227,HGM,0.0146854393742
228,COR,0.0400890319127
229,MCM,0.00956864969575
230,UAX,0.0481136427568
231,MGH,0.0243728736657
232,MCM,0.00319105940284
233,HGM,0.0233379627051
234,BJU,0.0200260271177
235,MCM,0.00960160313949
236,COY,0.00885348988212
237,COY,0.008875063134
238,HGM,0.0190053083282
239,COY,0.0067018167714
240,SJA,0.0195684755354
241,MGH,0.0181179750089
242,HGM,0.0215047291376
243,MCM,0.0160620347971
244,MCM,0.0155856272586
245,HGM,0.0209545674984
246,MCM,0.0196607091999
247,HGM,0.0211997492571
248,COY,0.0148822199429
249,HGM,0.0214997629071
250,MGH,0.0144528545057
251,MCM,0.0193042415744
252,MCM,0.00957189692128
253,SJA,0.00912047967203
254,UAX,0.0352277256824
255,COY,0.0216053623441
256,COY,0.016802692125
257,IZT,0.00794353867853
258,CCA,0.0100252992733
259,MCM,0.00877137904861
260,LAA,0.0126803186688
261,IZT,0.0192499550372
262,DIC,0.0186573367648
263,HGM,0.0235242643455
264,HGM,0.0214970156317
265,MCM,0.00955396535127
266,HGM,0.0202674354282
267,UAX,0.0248781482846
268,IZT,0.0109695457607
269,MCM,0.0235651215466
270,HGM,0.0206343941386
271,UAX,0.0239886154859
272,HGM,0.0204456854887
273,MCM,0.0183659851103
274,SJA,0.0155906572552
275,DIC,0.00287750462207
276,NEZ,0.0208259407401
277,DIC,0.00321446707106
278,MCM,0.0189880263283
279,SJA,0.0182625505012
280,HGM,0.0194065978111
281,MCM,0.0196692752375
282,MER,0.00749382441278
283,HGM,0.0214585387277
284,HGM,0.0232020890041
285,HGM,0.0192856876199
286,MCM,0.00324510652623
287,MCM,0.0120487379219
288,MCM,0.00588164633064
289,MCM,0.00345999752891
290,MER,0.00841252761764
291,HGM,0.0206398685985
292,HGM,0.0175819052524
293,UIZ,0.00754554393958
294,HGM,0.0221383073326
295,IZT,0.0220080787889
296,MCM,0.008747687523
297,MCM,0.0112951017523
298,IZT,0.024613040168
299,MCM,0.0191559172265
300,MCM,0.00957574893715
301,MCM,0.00321244505167
302,IZT,0.0214181960357
303,CAM,0.028605224709
304,MGH,0.0232741492079
305,HGM,0.0209140029381
306,COY,0.00700558157312
307,MCM,0.00503135838745
308,UIZ,0.0162831901968
309,CAM,0.0239541056102
310,MCM,0.00794074020333
311,HGM,0.0201396910887
312,MCM,0.0193020751497
313,HGM,0.0215088074065
314,HGM,0.0234618607064
315,BJU,0.00228379180312
316,UIZ,0.0253602270453
317,MCM,0.0189676718632
318,SJA,0.0394674832529
319,HGM,0.0215041705452
320,MCM,0.019061499154
321,MCM,0.00312308482914
322,BJU,0.0207515229889
323,BJU,0.00245311776513
324,HGM,0.0202118069575
325,MCM,0.00379302392679
326,MCM,0.0144661958727
327,HGM,0.014611194006
328,MCM,0.00297393187788
329,LAA,0.0281974118031
330,PED,0.0165299031273
331,SJA,0.0446727529116
332,MCM,0.00313744271024
333,IZT,0.0192024936116
334,NEZ,0.0285497363619
335,NEZ,0.0240372375184
336,UIZ,0.019731003131
337,UIZ,0.0205485049736
338,LPR,0.0195105062858
339,HGM,0.0261307469021
340,HGM,0.030168281033
341,HGM,0.0209131663427
342,MCM,0.0217122886786
343,MCM,0.0194995609322
344,MCM,0.00311985938827
345,MCM,0.00862915429778
346,BJU,0.00267861430423
347,HGM,0.0185847879142
348,CCA,0.0190751509353
349,BJU,0.0215049390863
350,CCA,0.0153214768328
351,UIZ,0.0173770030986
352,MCM,0.0103284990677
353,SFE,0.0188757981828
354,LPR,0.0193057392659
355,HGM,0.0125170980596
356,MCM,0.0189489065653
357,MCM,0.00682031777782
358,CCA,0.0214973033251
359,LAA,0.0281767581975
360,PED,0.0352033689947
361,NEZ,0.0455875983687
362,BJU,0.0199422837635
363,MCM,0.0194925190008
364,UIZ,0.0345254280938
365,UIZ,0.0198719226269
366,SHA,0.0246721303519
367,UAX,0.0244792084856
368,HGM,0.017346409849
369,MCM,0.00317989910984
370,UIZ,0.0121940754467
371,MCM,0.00876942591226
372,DIC,0.0309928743613
373,MCM,0.0234220606743
374,HGM,0.0177598891213
375,HGM,0.0258382287792
376,HGM,0.024136341766
377,HGM,0.0208613156504
378,MCM,0.0189551454513
379,MCM,0.00958367484283
380,MCM,0.0108733077331
381,MCM,0.0193231604753
382,MCM,0.00948071847226
383,BJU,0.00268557694544
384,UAX,0.0290634836522
385,IZT,0.0254126543842
386,MCM,0.00260912021169
387,MGH,0.0232190629903
388,MGH,0.0224892925252
389,MGH,0.0233292790755
390,MCM,0.00816510478798
391,MCM,0.00707007266254
392,MCM,0.00788254782596
393,HGM,0.021798032318
394,MCM,0.0195882163213
395,HGM,0.0194885516912
396,COR,0.0083074962093
397,MCM,0.00377891022962
398,MCM,0.017205638017
399,MCM,0.0157721735181
400,MCM,0.0234895693194
401,MER,0.00793049300772
402,MER,0.00776689272278
403,MER,0.00241032450586
404,COY,0.0182110816099
405,HGM,0.0214872628988
406,LAA,0.0337277198047
407,HGM,0.0210725488958
408,MCM,0.0112112750323
409,MCM,0.0145115124753
410,UIZ,0.0163470988986
411,HGM,0.014105344972
412,MCM,0.0166662335214
413,PED,0.0196912531448
414,COR,0.0308113233808
415,UAX,0.0272012709269
416,MER,0.00404532992102
417,COY,0.00893829175122
418,UAX,0.0107867039136
419,UAX,0.0208748842768
420,UAX,0.0320372687478
421,HGM,0.0216458528277
422,GAM,0.00531769921113
423,UIZ,0.0283329610372
424,HGM,0.0218397680989
425,COY,0.0125697302051
426,HGM,0.0152697332625
427,MCM,0.0193038796272
428,BJU,0.0199403616597
429,UAX,0.0485538426522
430,IZT,0.0100180417656
431,HGM,0.0216686183892
432,MCM,0.013492420268
433,MCM,0.0115755505356
434,MCM,0.0194189313716
435,MCM,0.0190108210801
436,MCM,0.016478391087
437,HGM,0.0159136704213
438,MCM,0.00542188500431
439,MCM,0.019307673889
440,COY,0.0155886018821
441,COY,0.0153130168392
442,MGH,0.0238706529465
443,SFE,0.0258693568811
444,HGM,0.0218335420969
445,MER,0.00761612643207
446,HGM,0.0234492782533
447,EAJ,0.0627805118143
448,IZT,0.00509205584
449,MCM,0.00292592705737
450,BJU,0.0212032061399
451,MCM,0.00288541092266
452,MCM,0.00956971157977
453,HGM,0.0204997223391
454,HGM,0.0185645880778
455,MGH,0.0238781641221
456,MCM,0.00420500917202
457,MCM,0.0167645959391
458,HGM,0.015249333782
459,MER,0.00783886837815
460,HGM,0.020491631044
461,MER,0.00676202788625
462,HGM,0.0211188772902
463,HGM,0.0209179699487
464,MER,0.00780618562704
465,MCM,0.019448486883
466,MER,0.0257063673277
467,HGM,0.0194592653964
468,MER,0.00452073032734
469,HGM,0.0158974924665
470,BJU,0.016879321243
471,IZT,0.0226113730609
472,HGM,0.0209512488162
473,MCM,0.00325870784865
474,MCM,0.003673131285
475,CCA,0.0153708112256
476,UIZ,0.0219017342219
477,MCM,0.0143606213621
478,LPR,0.0272514781073
479,HGM,0.0153307651363
480,MCM,0.0189424508916
481,MCM,0.0193054717961
482,MCM,0.0121506363485
483,MCM,0.0136918264853
484,MCM,0.0162743339392
485,MCM,0.0219852114385
486,HGM,0.0210971898854
487,MCM,0.00296150872897
488,GAM,0.015782501615
489,AJU,0.0575561858449
490,UIZ,0.0133784844953
491,MCM,0.00251209337186
492,MCM,0.00920633943246
493,MCM,0.0097936705612
494,MCM,0.0233829968027
495,MCM,0.0105270483228
496,MCM,0.00705639782566
497,MCM,0.00866391437922
498,HGM,0.0204993570558
499,MCM,0.01034071861
500,MCM,0.00665429350495
501,HGM,0.0215584527044
502,MCM,0.0192951951791
503,MCM,0.00829022755527
504,MCM,0.00829477364565
505,MER,0.00448043750711
506,MCM,0.0222164381749
507,HGM,0.0212064527012
508,UAX,0.0401750382515
509,HGM,0.0218178799271
510,SFE,0.0179108949737
511,MCM,0.02610903671
512,MCM,0.0191559172265
513,GAM,0.0171511804231
514,UAX,0.0135487638551
515,NEZ,0.0449136583229
516,CUA,0.0149133404282
517,MGH,0.0231790299409
518,COY,0.0184299721604
519,MCM,0.0193318313932
520,CAM,0.0279120699387
521,CAM,0.0227449597186
522,MCM,0.00421066793317
523,CCA,0.0189008539796
524,SJA,0.0171905718687
525,HGM,0.020546694936
526,UIZ,0.016321543058
527,IZT,0.0233613582804
528,CCA,0.0286192354443
529,MCM,0.00894926895164
530,PED,0.0312771571677
531,NEZ,0.0177533539177
532,HGM,0.021196592987
533,MCM,0.019318466843
534,BJU,0.0280718660888
535,MCM,0.0193023679907
536,MCM,0.00366326442347
537,MCM,0.0167043944243
538,MCM,0.00828316376573
539,COY,0.0178860838206
540,LAA,0.010647825019
541,IZT,0.00653776605965
542,MCM,0.0189714976937
543,CCA,0.0217390658472
