"","ID","estaacion","Distance"
"158",158,"MCM",0.0275574541229
"159",159,"HGM",0.0245918260466
"160",160,"MER",0.0274084255385
"161",161,"MCM",0.0360227979345
"162",162,"CAM",0.0271520119328
"163",163,"CAM",0.0340666057639
"164",164,"TEC",0.0310500288174
"165",165,"MER",0.0147355800366
"166",166,"MCM",0.0320620626672
"167",167,"MER",0.0218435067459
"168",168,"SFE",0.0180022467567
"169",169,"MER",0.0215152834145
"170",170,"MER",0.0218363601227
"171",171,"MCM",0.0299064547304
"172",172,"MER",0.0156499176782
"173",173,"HGM",0.0306948070201
"174",174,"MGH",0.0307693925478
"175",175,"BJU",0.0260280660156
"176",176,"MER",0.0156285564961
"177",177,"MCM",0.0229711314968
"178",178,"MER",0.0174462202259
"179",179,"MER",0.0137438693059
"180",180,"IZT",0.041630446172
"181",181,"CAM",0.0323247740945
"182",182,"HGM",0.0247088848692
"183",183,"MER",0.0156332997509
"184",184,"MER",0.0156125941941
"185",185,"IZT",0.041611888568
"186",186,"NEZ",0.0353661184358
"187",187,"UAX",0.0587454881214
"188",188,"SJA",0.0246160045617
"189",189,"SHA",0.0263715538412
"190",190,"UIZ",0.0341254432264
"191",191,"IZT",0.025072244592
"192",192,"UAX",0.038182908258
"193",193,"HGM",0.0180519474327
"194",194,"HGM",0.0236819667776
"195",195,"HGM",0.0210835504126
"196",196,"MER",0.0154881632443
"197",197,"SHA",0.0264269608075
"198",198,"MCM",0.0272950222188
"199",199,"COY",0.0213047599486
"200",200,"COY",0.0403940684292
"201",201,"HGM",0.0249660108548
"202",202,"GAM",0.0210368708359
"203",203,"SJA",0.0246489596889
"204",204,"HGM",0.0236919847922
"205",205,"HGM",0.0202355003743
"206",206,"MER",0.0218391870216
"207",207,"HGM",0.0264720388868
"208",208,"SJA",0.0273334148851
"209",209,"HGM",0.0236848309979
"210",210,"HGM",0.0196802565532
"211",211,"MER",0.015642769747
"212",212,"HGM",0.0242779772041
"213",213,"COY",0.0429317780762
"214",214,"UIZ",0.0423819448383
"215",215,"MGH",0.0298085513123
"216",216,"SJA",0.0244022460298
"217",217,"HGM",0.0210669948923
"218",218,"MGH",0.0298021851327
"219",219,"SHA",0.0189998550548
"220",220,"SJA",0.0430342320131
"221",221,"LAA",0.0191165949533
"222",222,"MCM",0.0357865420041
"223",223,"EAJ",0.0319486456186
"224",224,"DIC",0.077573481757
"225",225,"MER",0.0163979620873
"226",226,"EAJ",0.142948548299
"227",227,"MER",0.0186311616681
"228",228,"MCM",0.0266132697882
"229",229,"MER",0.0216878888255
"230",230,"UIZ",0.0689082289461
"231",231,"MER",0.0218945810578
"232",232,"COY",0.0132380434638
"233",233,"MCM",0.0346315705597
"234",234,"IBM",0.0155493878325
"235",235,"MGH",0.0374472399087
"236",236,"IBM",0.0186227072319
"237",237,"CCA",0.04041681773
"238",238,"PED",0.0276662544542
"239",239,"MER",0.0156374261009
"240",240,"TEC",0.0302883935943
"241",241,"IBM",0.0310806160758
"242",242,"MER",0.0252274979248
"243",243,"MCM",0.0267792110489
"244",244,"MCM",0.0259208764269
"245",245,"MCM",0.0197406158409
"246",246,"IZT",0.0402887797957
"247",247,"MER",0.0218574979172
"248",248,"MER",0.014951991038
"249",249,"MCM",0.0263362665926
"250",250,"MCM",0.0249781345899
"251",251,"HGM",0.0198386708591
"252",252,"IZT",0.0378961358169
"253",253,"AJM",0.0285557425994
"254",254,"MER",0.0218429091518
"255",255,"EAJ",0.0343396484389
"256",256,"IBM",0.017454307001
"257",257,"IBM",0.0310086781884
"258",258,"SFE",0.025676088837
"259",259,"MCM",0.0263363411894
"260",260,"MCM",0.0353045568872
"261",261,"UIZ",0.0418081476472
"262",262,"DIC",0.0276503305705
"263",263,"MCM",0.03620078838
"264",264,"MER",0.0281590659154
"265",265,"MCM",0.0228651553286
"266",266,"UIZ",0.0448427178829
"267",267,"MER",0.0186338322573
"268",268,"COY",0.0410184417253
"269",269,"MCM",0.0151340984865
"270",270,"HGM",0.0233726562195
"271",271,"HGM",0.0237778088144
"272",272,"HGM",0.020223207183
"273",273,"HGM",0.0247970455944
"274",274,"COY",0.0212395541507
"275",275,"CUA",0.0299106797691
"276",276,"CCA",0.0175534697163
"277",277,"MCM",0.0299016802782
"278",278,"HGM",0.0264736318043
"279",279,"MER",0.0156350701588
"280",280,"HGM",0.0210673041526
"281",281,"MGH",0.0350474073044
"282",282,"COY",0.0337492683437
"283",283,"COY",0.0192351634556
"284",284,"SFE",0.0362535363957
"285",285,"BJU",0.030375689632
"286",286,"GAM",0.0373277702316
"287",287,"CAM",0.0242968213975
"288",288,"HGM",0.0236809704679
"289",289,"MER",0.0218402513478
"290",290,"MCM",0.0230094423894
"291",291,"TAH",0.0492285408812
"292",292,"UIZ",0.0286503941019
"293",293,"MER",0.017187818347
"294",294,"HGM",0.0202250048979
"295",295,"MER",0.0291342948023
"296",296,"MER",0.0218461084687
"297",297,"MCM",0.0159084564514
"298",298,"TAH",0.0492314116961
"299",299,"MER",0.0218444568712
"300",300,"COR",0.0829580081519
"301",301,"HGM",0.0282883791745
"302",302,"MER",0.0156238595671
"303",303,"MCM",0.0387021754965
"304",304,"IZT",0.0232981025385
"305",305,"MER",0.0218731784775
"306",306,"CCA",0.0221483458301
"307",307,"CCA",0.0221279177618
"308",308,"MGH",0.0322706112179
"309",309,"CCA",0.0244032282328
"310",310,"MER",0.0320044991388
"311",311,"LOM",0.0234254960232
"312",312,"MCM",0.0356776624902
"313",313,"MER",0.0267403411015
"314",314,"HGM",0.0242590436756
"315",315,"MCM",0.0250381520855
"316",316,"HGM",0.0196844831283
"317",317,"MER",0.0218731784775
"318",318,"BJU",0.0233334241781
"319",319,"MER",0.0218433864975
"320",320,"MCM",0.0251772676028
"321",321,"LAA",0.0303669465681
"322",322,"BJU",0.0206862813603
"323",323,"MCM",0.0230213442193
"324",324,"MCM",0.0133047095889
"325",325,"COY",0.0414095931
"326",326,"HGM",0.0385031178936
"327",327,"HGM",0.021074615882
"328",328,"MER",0.0218421618743
"329",329,"MER",0.0159998273595
"330",330,"MER",0.0218531215676
"331",331,"UIZ",0.0360097013824
"332",332,"MER",0.0385752465108
"333",333,"UIZ",0.05243855262
"334",334,"BJU",0.037279788914
"335",335,"BJU",0.0317069830423
"336",336,"MER",0.0347040586808
"337",337,"COY",0.0236431087402
"338",338,"MER",0.0191131690901
"339",339,"MER",0.015624995824
"340",340,"CAM",0.016108120452
"341",341,"UIZ",0.0346687277346
"342",342,"CCA",0.0254997003808
"343",343,"MCM",0.0268105656254
"344",344,"MCM",0.0230334681225
"345",345,"MER",0.0110980241861
"346",346,"MCM",0.028106370238
"347",347,"COY",0.0462607571966
"348",348,"MER",0.0305674522963
"349",349,"HGM",0.0272094950462
"350",350,"MCM",0.0275414092841
"351",351,"EAJ",0.0370558939228
"352",352,"MCM",0.0276669405894
"353",353,"UIZ",0.0448642395475
"354",354,"MCM",0.028005458961
"355",355,"HGM",0.0239228262948
"356",356,"MER",0.0352126147415
"357",357,"EAJ",0.0311416581294
"358",358,"UIZ",0.0382547370606
"359",359,"EAJ",0.0310252488209
"360",360,"TEC",0.0246622539521
"361",361,"HGM",0.0242932766457
"362",362,"MER",0.0335282015142
"363",363,"MCM",0.0196367069337
"364",364,"HGM",0.0196892344596
"365",365,"MCM",0.0133897699848
"366",366,"MER",0.0173025320451
"367",367,"MCM",0.027492002858
"368",368,"MCM",0.0258428145308
"369",369,"MCM",0.0199304223648
"370",370,"MER",0.0156740645152
"371",371,"HGM",0.0247898057835
"372",372,"MER",0.0167939514917
"373",373,"MER",0.0160168991412
"374",374,"MCM",0.0168499791094
"375",375,"MCM",0.0276885181344
"376",376,"BJU",0.0268302621668
"377",377,"IZT",0.0457343250401
"378",378,"BJU",0.0286152780872
"379",379,"BJU",0.0223493904112
"380",380,"MER",0.0190991019684
"381",381,"MER",0.0159753405835
"382",382,"UIZ",0.0301277933569
"383",383,"HGM",0.0217516161139
"384",384,"MER",0.0218486321532
"385",385,"MGH",0.0298025490294
"386",386,"MER",0.0156353618445
"387",387,"BJU",0.0256885203969
"388",388,"SHA",0.032203833658
"389",389,"HGM",0.0289502722081
"390",390,"MCM",0.0298960703862
"391",391,"BJU",0.0245061307673
"392",392,"MER",0.00852524965261
"393",393,"IZT",0.0378074691207
"394",394,"LAA",0.034477464287
"395",395,"MER",0.0186293198954
"396",396,"MCM",0.0315204696395
"397",397,"HGM",0.0210773077054
"398",398,"MCM",0.0230294632791
"399",399,"MCM",0.0266171278014
"400",400,"COY",0.0211785213129
"401",401,"UAX",0.0430254738261
"402",402,"MER",0.015635070285
"403",403,"HGM",0.0241570730937
"404",404,"NEZ",0.0464921872774
"405",405,"MCM",0.0230159486101
"406",406,"MER",0.0218421275855
"407",407,"MGH",0.0328870300483
"408",408,"HGM",0.0237571670684
"409",409,"MER",0.0148707451276
"410",410,"IZT",0.0227790842117
"411",411,"COY",0.02128554143
"412",412,"MCM",0.035611831138
"413",413,"IZT",0.0374953980024
"414",414,"MCM",0.0279794699192
"415",415,"MCM",0.0228540980391
"416",416,"HGM",0.0240368758066
"417",417,"MER",0.021786171212
"418",418,"HGM",0.0247817598303
"419",419,"MER",0.0147433587956
"420",420,"HGM",0.0265416828487
"421",421,"MCM",0.0159313353012
"422",422,"MER",0.0152178726032
"423",423,"LPR",0.04306231964
"424",424,"DIC",0.0412855724547
"425",425,"MER",0.0458491482702
"426",426,"MER",0.0155042359941
"427",427,"TAH",0.0493094196176
"428",428,"PED",0.0193326963739
"429",429,"MER",0.037527304534
"430",430,"UIZ",0.0298951725024
"431",431,"UIZ",0.0358977263135
"432",432,"UAX",0.0583042906579
"433",433,"UAX",0.0584899838953
"434",434,"TEC",0.0340699154681
"435",435,"MGH",0.0331400579652
"436",436,"MGH",0.0352157390233
"437",437,"MCM",0.0298750127697
"438",438,"HGM",0.0221084468685
