ID,estacion,Distance
290,HGM,0.021509394
291,COR,0.03565193
292,IZT,0.021644995
293,MCM,0.005307797
294,MCM,0.019501909
295,MCM,0.016742798
296,MCM,0.009573863
297,HGM,0.014685439
298,COR,0.040089032
299,MCM,0.00956865
300,UAX,0.048113643
301,MGH,0.024372874
302,MCM,0.003191059
303,HGM,0.023337963
304,BJU,0.020026027
305,MCM,0.009601603
306,COY,0.00885349
307,COY,0.008875063
308,HGM,0.019005308
309,COY,0.006701817
310,SJA,0.019568476
311,MGH,0.018117975
312,HGM,0.021504729
313,MCM,0.016062035
314,MCM,0.015585627
315,HGM,0.020954567
316,MCM,0.019660709
317,MCM,0.009601603
318,COY,0.018441294
319,MCM,0.009571127
320,HGM,0.021199749
321,MCM,0.026487301
322,COY,0.01488222
323,HGM,0.021499763
324,MER,0.007357841
325,UAX,0.029077431
326,MGH,0.014452855
327,MCM,0.019304242
328,MCM,0.009571897
329,MCM,0.011332324
330,MCM,0.009579085
331,IZT,0.017596206
332,SJA,0.00912048
333,UAX,0.035227726
334,COY,0.021605362
335,COY,0.016802692
336,IZT,0.007943539
337,CCA,0.010025299
338,MCM,0.008771379
339,MCM,0.003206218
340,LAA,0.012680319
341,IZT,0.019249955
342,DIC,0.018657337
343,HGM,0.023524264
344,HGM,0.021497016
345,MCM,0.009553965
346,HGM,0.020267435
347,UAX,0.024878148
348,IZT,0.010969546
349,MCM,0.023565122
350,HGM,0.021415117
351,DIC,0.026817077
352,HGM,0.020634394
353,UAX,0.023988615
354,HGM,0.020445685
355,MCM,0.018365985
356,SJA,0.015590657
357,DIC,0.002877505
358,NEZ,0.020825941
359,DIC,0.003214467
360,GAM,0.006572061
361,MCM,0.018988026
362,SJA,0.018262551
363,HGM,0.019406598
364,MCM,0.019669275
365,MER,0.007493824
366,MCM,0.013224592
367,HGM,0.021458539
368,HGM,0.023202089
369,HGM,0.019285688
370,MCM,0.003245107
371,MCM,0.012048738
372,MCM,0.005881646
373,MCM,0.003459998
374,MER,0.008412528
375,HGM,0.020639869
376,HGM,0.017581905
377,UIZ,0.007545544
378,HGM,0.022138307
379,IZT,0.022008079
380,MCM,0.008747688
381,MCM,0.011295102
382,IZT,0.02461304
383,MCM,0.019155917
384,MCM,0.009575749
385,BJU,0.029218638
386,MCM,0.003212445
387,IZT,0.021418196
388,CAM,0.028605225
389,MGH,0.023274149
390,HGM,0.020914003
391,COY,0.007005582
392,MCM,0.005031358
393,UIZ,0.01628319
394,CAM,0.023954106
395,MCM,0.00794074
396,HGM,0.020139691
397,MCM,0.019302075
398,HGM,0.021508807
399,HGM,0.023461861
400,BJU,0.002283792
401,UIZ,0.025360227
402,MCM,0.00321266
403,MCM,0.018967672
404,SJA,0.039467483
405,HGM,0.021504171
406,MCM,0.009569605
407,BJU,0.021637117
408,MCM,0.019061499
409,MCM,0.003123085
410,BJU,0.020751523
411,BJU,0.002453118
412,HGM,0.0213738
413,UIZ,0.016774589
414,HGM,0.020211807
415,HGM,0.021169873
416,MCM,0.017659902
417,MCM,0.00949527
418,MCM,0.013494723
419,MCM,0.003793024
420,MCM,0.014466196
421,HGM,0.014611194
422,MCM,0.002973932
423,LAA,0.028197412
424,PED,0.016529903
425,SJA,0.044672753
426,MCM,0.003137443
427,COR,0.040050054
428,CCA,0.018886737
429,IZT,0.019202494
430,NEZ,0.028549736
431,NEZ,0.024037238
432,UIZ,0.019731003
433,UIZ,0.020548505
434,LPR,0.019510506
435,HGM,0.026130747
436,HGM,0.030168281
437,HGM,0.020913166
438,MCM,0.021712289
439,MCM,0.019499561
440,MCM,0.003119859
441,MCM,0.008629154
442,BJU,0.002678614
443,HGM,0.021200681
444,HGM,0.018584788
445,CCA,0.019075151
