"","Asunto","Latitud","Longitud","fecha","date","day","hour","month"
"51","MNF - Manifestacion",19.4428366,-99.1247559,2014-01-27,2014-01-27 18:38:00,"Mon",18,"Jan"
"52","MNF - Manifestacion",19.436083200972,-99.1539499180603,2014-01-28,2014-01-28 09:35:00,"Tues",9,"Jan"
"53","MCH - Marcha",19.4227003855404,-99.1237215341935,2014-01-28,2014-01-28 10:44:00,"Tues",10,"Jan"
"54","MCH - Marcha",19.4353224043677,-99.14980139534,2014-01-28,2014-01-28 11:04:00,"Tues",11,"Jan"
"55","MCH - Marcha",19.4259909633567,-99.1308113715668,2014-01-28,2014-01-28 11:13:00,"Tues",11,"Jan"
"56","MNF - Manifestacion",19.436097,-99.1540816,2014-01-28,2014-01-28 13:49:00,"Tues",13,"Jan"
"57","MCH - Marcha",19.4332263,-99.1542373,2014-01-28,2014-01-28 15:04:00,"Tues",15,"Jan"
"58","MNF - Manifestacion",19.4322534272891,-99.1599534976227,2014-01-28,2014-01-28 15:10:00,"Tues",15,"Jan"
"59","MNF - Manifestacion",19.3835180929119,-99.0748911272171,2014-01-28,2014-01-28 16:27:00,"Tues",16,"Jan"
"60","MCH - Marcha",19.2998753601833,-99.1039834523788,2014-01-28,2014-01-28 16:52:00,"Tues",16,"Jan"
"61","MNF - Manifestacion",19.45535,-99.13983,2014-01-07,2014-01-07 11:45:00,"Tues",11,"Jan"
"62","MCH - Marcha",19.296874213112,-99.1253489806733,2014-01-28,2014-01-28 17:41:00,"Tues",17,"Jan"
"63","MCH - Marcha",19.2854388650786,-99.1347806675537,2014-01-28,2014-01-28 18:09:00,"Tues",18,"Jan"
"64","MNF - Manifestacion",19.4322382507781,-99.1599749552948,2014-01-29,2014-01-29 08:04:00,"Wed",8,"Jan"
"65","MCH - Marcha",19.4326527073405,-99.1544823088455,2014-01-29,2014-01-29 09:13:00,"Wed",9,"Jan"
"66","MNF - Manifestacion",19.442609804399,-99.1230466926987,2014-01-29,2014-01-29 09:25:00,"Wed",9,"Jan"
"67","MCH - Marcha",19.4259014357075,-99.1536829516983,2014-01-29,2014-01-29 09:55:00,"Wed",9,"Jan"
"68","MCH - Marcha",19.3907500183923,-99.1564728836059,2014-01-29,2014-01-29 10:16:00,"Wed",10,"Jan"
"69","MNF - Manifestacion",19.3367151670133,-99.1900608048157,2014-01-29,2014-01-29 10:31:00,"Wed",10,"Jan"
"70","MNF - Manifestacion",19.4312743023806,-99.1323429595766,2014-01-29,2014-01-29 10:36:00,"Wed",10,"Jan"
"71","MNF - Manifestacion",19.4365678595877,-99.1378737259564,2014-01-29,2014-01-29 10:47:00,"Wed",10,"Jan"
"72","MNF - Manifestacion",19.4368045205082,-99.1336547227539,2014-01-29,2014-01-29 11:46:00,"Wed",11,"Jan"
"73","MNF - Manifestacion",19.3710339979903,-99.1611761907379,2014-01-29,2014-01-29 12:20:00,"Wed",12,"Jan"
"74","MNF - Manifestacion",19.430724899712,-99.1596499569126,2014-01-29,2014-01-29 13:36:00,"Wed",13,"Jan"
"75","MNF - Manifestacion",19.4313151049015,-99.1514459820702,2014-01-29,2014-01-29 14:04:00,"Wed",14,"Jan"
"76","MNF - Manifestacion",19.3621205258031,-99.1629735576721,2014-01-29,2014-01-29 15:08:00,"Wed",15,"Jan"
"77","MNF - Manifestacion",19.3964127711884,-99.1617825558628,2014-01-29,2014-01-29 15:50:00,"Wed",15,"Jan"
"78","MNF - Manifestacion",19.358541344868,-99.0894411997223,2014-01-29,2014-01-29 16:53:00,"Wed",16,"Jan"
"79","MNF - Manifestacion",19.4321509910158,-99.1595516092316,2014-01-30,2014-01-30 09:50:00,"Thurs",9,"Jan"
"80","MCH - Marcha",19.4272119199605,-99.148959994812,2014-01-30,2014-01-30 10:02:00,"Thurs",10,"Jan"
"81","MCH - Marcha",19.4372746596482,-99.1463332633209,2014-01-30,2014-01-30 10:28:00,"Thurs",10,"Jan"
"82","MNF - Manifestacion",19.3960539788243,-99.0983855727387,2014-01-30,2014-01-30 10:44:00,"Thurs",10,"Jan"
"83","MNF - Manifestacion",19.4311561105416,-99.1516144388008,2014-01-30,2014-01-30 11:26:00,"Thurs",11,"Jan"
"84","MNF - Manifestacion",19.3411446535291,-99.1374030013276,2014-01-30,2014-01-30 11:39:00,"Thurs",11,"Jan"
"85","MNF - Manifestacion",19.472461961124,-99.1974486789554,2014-01-30,2014-01-30 12:20:00,"Thurs",12,"Jan"
"86","MNF - Manifestacion",19.4359831788267,-99.1530704072014,2014-01-30,2014-01-30 12:47:00,"Thurs",12,"Jan"
"87","MNF - Manifestacion",19.42584,-99.19199,2014-01-30,2014-01-30 13:01:00,"Thurs",13,"Jan"
